scenario,estimator,trajectory,noise_regime,n_runs,ate_mean,ate_std,ate_ci_lo,ate_ci_hi,ate_median,rpe_mean,rpe_std,rmse_pos_mean,rmse_pos_std,rmse_hdg_mean,rmse_hdg_std,anis_mean,anis_std,anis_lb,anis_ub,anees_mean,anees_std,anees_lb,anees_ub,rt_mean,rt_std,nis_ok,nees_ok
standard,EKF,figure8,low,30.0,0.014816873295162484,0.0004033038794525616,0.014666277151596548,0.01496746943872842,0.014785902903999561,0.014482112153857142,0.0013966325547058584,0.014816873295162484,0.0004033038794525616,0.004986326754072918,0.00018799649822532998,0.004753542039949379,0.00012110140651589762,0.7294068619607659,1.312621028451283,0.003043947792064233,0.00014190887547526652,0.7294068619607659,1.312621028451283,859.6945882666583,27.81568086596426,False,False
standard,UKF,figure8,low,30.0,0.006783985875407037,0.0004413426508317894,0.00661918582117336,0.006948785929640714,0.00685520469099978,0.006104853899949095,0.0006125186585213526,0.006783985875407037,0.0004413426508317894,0.017635584535432885,0.03477949840308911,0.005507643478269666,0.00014377756223545496,0.7294068619607659,1.312621028451283,0.0030795639906128678,0.0003701836164643431,0.7294068619607659,1.312621028451283,4776.984417199991,91.34482999965962,False,False
standard,Adaptive-EKF,figure8,low,30.0,0.03322914646028238,0.0007040500738831438,0.03296624984210942,0.033492043078455346,0.033175260612049784,0.0333591549029023,0.0036596934516219173,0.03322914646028238,0.0007040500738831438,0.009602709326183127,0.00038439844130521816,0.5243644334791796,0.01129119853794817,0.7294068619607659,1.312621028451283,0.8392149738896153,0.0479482366800687,0.7294068619607659,1.312621028451283,1356.9173864333452,64.69299736408085,False,True
standard,Adaptive-UKF,figure8,low,30.0,0.024109513881980214,0.0005395732491197837,0.02390803391952838,0.024310993844432048,0.02403490165241621,0.023972400893711377,0.002679603990152925,0.024109513881980214,0.0005395732491197837,0.01592313296907158,0.024259375476835494,0.6502000177442394,0.007907904703817492,0.7294068619607659,1.312621028451283,0.5615325745220573,0.03049491450670601,0.7294068619607659,1.312621028451283,5126.249146866682,675.6487039540636,False,False
standard,EKF,figure8,medium,30.0,0.0370066642198104,0.0010070304225413534,0.03663063288013136,0.03738269555948944,0.03695491005444516,0.03598366020979039,0.0034138711882384706,0.0370066642198104,0.0010070304225413534,0.012453084071013405,0.0004656548760185573,0.029706214954409203,0.0007568371612270657,0.7294068619607659,1.312621028451283,0.019013022578487745,0.0008837077832242638,0.7294068619607659,1.312621028451283,840.090557566691,21.167123834243014,False,False
standard,UKF,figure8,medium,30.0,0.01667198450268499,0.001066290878639645,0.01627382494503176,0.017070144060338223,0.016635271051962507,0.014421109832332798,0.001548930528774454,0.01667198450268499,0.001066290878639645,0.02324594063844489,0.03275409001523511,0.03433102205274352,0.0008456128629171648,0.7294068619607659,1.312621028451283,0.018660515309441763,0.0019600749080139436,0.7294068619607659,1.312621028451283,4796.189988333336,88.77478618340936,False,False
standard,Adaptive-EKF,figure8,medium,30.0,0.06179817738118946,0.0013854640549936358,0.06128083660079707,0.062315518161581845,0.061631982543738556,0.061716096366111535,0.0064553245035252485,0.06179817738118946,0.0013854640549936358,0.024005542468161493,0.0009599289593371828,0.8101457256947131,0.013830724119400622,0.7294068619607659,1.312621028451283,0.8271316071594937,0.04797735483678988,0.7294068619607659,1.312621028451283,1369.2633707333546,49.44867556580169,True,True
standard,Adaptive-UKF,figure8,medium,30.0,0.03702814475003502,0.0009608753185276179,0.036669348009437414,0.037386941490632625,0.03681875744443007,0.03593115185655159,0.003421338909233202,0.03702814475003502,0.0009608753185276179,0.029440794264690297,0.021140610371714313,0.7865671685045382,0.010612906559789456,0.7294068619607659,1.312621028451283,0.5429691181004678,0.0285060611152306,0.7294068619607659,1.312621028451283,5033.859741466654,676.9699950559719,True,False
standard,EKF,figure8,high,30.0,0.1110024426777811,0.0030191165091449667,0.10987508604567868,0.11212979930988352,0.11088148812361118,0.10803093410579076,0.010291061078253833,0.1110024426777811,0.0030191165091449667,0.0373464501948701,0.0013914848520826316,0.26735022030062167,0.0068113499285860695,0.7294068619607659,1.312621028451283,0.1710904343218267,0.00794177435296348,0.7294068619607659,1.312621028451283,839.3495951999665,28.330114841618016,False,False
standard,UKF,figure8,high,30.0,0.04988240342092128,0.003176703180372951,0.04869620295871105,0.051068603883131516,0.049715119161096846,0.04282348244143571,0.004758543233525336,0.04988240342092128,0.003176703180372951,0.034273297709589735,0.014263030419720915,0.3087914827588758,0.007606929929632217,0.7294068619607659,1.312621028451283,0.1670517095232222,0.017335054787917945,0.7294068619607659,1.312621028451283,4726.590580166672,52.82789719810539,False,False
standard,Adaptive-EKF,figure8,high,30.0,0.13112057635059257,0.003147833160873562,0.12994515613083174,0.1322959965703534,0.13055021242499043,0.1290640735695262,0.012406946818518892,0.13112057635059257,0.003147833160873562,0.05892317194310946,0.002062078353572572,1.075870585226872,0.012037658534683353,0.7294068619607659,1.312621028451283,0.8597780492256585,0.04050226588430016,0.7294068619607659,1.312621028451283,1346.0672450666382,40.74697556927476,True,True
standard,Adaptive-UKF,figure8,high,30.0,0.06362124546524439,0.003043390934631857,0.062484824613698885,0.06475766631678989,0.06314290862442654,0.05818725636303182,0.0061722355799302955,0.06362124546524439,0.003043390934631857,0.05437679986062501,0.0019788069419288588,1.0479468744392781,0.009659606426109836,0.7294068619607659,1.312621028451283,0.6829982867175968,0.04517065920418545,0.7294068619607659,1.312621028451283,5106.402725499993,655.4943310535593,True,False
standard,EKF,circle,low,30.0,0.014870982249458741,0.0004119570689488058,0.014717154951832378,0.015024809547085105,0.014840415370394119,0.014160929659998775,0.0017771914247368713,0.014870982249458741,0.0004119570689488058,0.004979448348465675,0.00018515011275679238,0.004752901773668932,0.00012105975634784615,0.7294068619607659,1.312621028451283,0.00306486141314264,0.00014803767746692103,0.7294068619607659,1.312621028451283,786.2090914999877,19.56612116882807,False,False
standard,UKF,circle,low,30.0,0.006803885202564873,0.0004374846468570279,0.006640525750691008,0.006967244654438738,0.006703394645517945,0.005739378583700206,0.0008638930880877945,0.006803885202564873,0.0004374846468570279,0.010929221496173242,0.025520854921422136,0.0055170977322617385,0.000141406672949479,0.7294068619607659,1.312621028451283,0.0030984751627355623,0.00036268030617977445,0.7294068619607659,1.312621028451283,4474.123868233308,80.93071781271215,False,False
standard,Adaptive-EKF,circle,low,30.0,0.03326170775254458,0.0007111601672466642,0.032996156181876755,0.0335272593232124,0.033216829668559454,0.032941496469172264,0.003371851561208834,0.03326170775254458,0.0007111601672466642,0.00960227108650104,0.00038367457606266076,0.5243624394676921,0.011291605424698847,0.7294068619607659,1.312621028451283,0.8406875210949841,0.04814478445736941,0.7294068619607659,1.312621028451283,1292.606223100021,31.18252464127613,False,True
standard,Adaptive-UKF,circle,low,30.0,0.02414764430392819,0.0005465196789749232,0.023943570501939886,0.024351718105916496,0.02410729922636958,0.0234874992690706,0.0027092862782201973,0.02414764430392819,0.0005465196789749232,0.015946210797749164,0.02423857853041848,0.6501675081095981,0.007894592241115335,0.7294068619607659,1.312621028451283,0.5631952240454762,0.030851210925636627,0.7294068619607659,1.312621028451283,4835.444985366667,633.1343025683101,False,False
standard,EKF,circle,medium,30.0,0.03717350619962398,0.0010314808796728534,0.03678834490920549,0.03755866749004247,0.0370986768202856,0.03540320063605521,0.004465811998111745,0.03717350619962398,0.0010314808796728534,0.012447278242788191,0.0004629272519471322,0.029705510540818696,0.0007566910429949888,0.7294068619607659,1.312621028451283,0.019155145874435748,0.000926497622302699,0.7294068619607659,1.312621028451283,808.7034271333249,19.27095917891021,False,False
standard,UKF,circle,medium,30.0,0.016994215369801578,0.00109924522151385,0.01658375045828629,0.017404680281316868,0.01673282732150751,0.01425839159754021,0.002165169300783531,0.016994215369801578,0.00109924522151385,0.016884181886910894,0.024140513527510503,0.03433804532033302,0.0008539424746504629,0.7294068619607659,1.312621028451283,0.01927751187611669,0.002179677407077526,0.7294068619607659,1.312621028451283,4513.347625833323,63.20151361713748,False,False
standard,Adaptive-EKF,circle,medium,30.0,0.061909508484918795,0.001401602026960986,0.06138614168675897,0.06243287528307862,0.06187372932473532,0.0608425259878131,0.00684795467214733,0.061909508484918795,0.001401602026960986,0.024004981358897576,0.0009592150942377528,0.810145628840329,0.013830486158758778,0.7294068619607659,1.312621028451283,0.8293178410376304,0.048784763768685874,0.7294068619607659,1.312621028451283,1258.2125114333317,39.4547904538588,True,True
standard,Adaptive-UKF,circle,medium,30.0,0.037194749447496754,0.0009807708374370658,0.03682852359804437,0.037560975296949135,0.03683603170913683,0.03505974054745195,0.0045992124937978465,0.037194749447496754,0.0009807708374370658,0.03516052055337867,0.028992238347130637,0.7865612239856709,0.010604664223385256,0.7294068619607659,1.312621028451283,0.5466797767169769,0.02983136710474231,0.7294068619607659,1.312621028451283,4872.540180466672,642.4762130691832,True,False
standard,EKF,circle,high,30.0,0.11151865170180539,0.0030964904711702733,0.11036240315745743,0.11267490024615334,0.11129483451612657,0.10610251889228864,0.012937244986308917,0.11151865170180539,0.0030964904711702733,0.03734112180160872,0.001388811453863446,0.2673493942672397,0.006810489944406272,0.7294068619607659,1.312621028451283,0.17239633278520236,0.008343571137082237,0.7294068619607659,1.312621028451283,799.1203205333402,20.36048800466575,False,False
standard,UKF,circle,high,30.0,0.05097433823853472,0.003305224775670962,0.04974014702393427,0.05220852945313517,0.05016357490793566,0.04269509946880054,0.006540462283881282,0.05097433823853472,0.003305224775670962,0.03953156240989217,0.023914775761921126,0.3087887967322946,0.007602672482955086,0.7294068619607659,1.312621028451283,0.17339166393310804,0.019683151711367034,0.7294068619607659,1.312621028451283,4529.863788133358,53.79614538988029,False,False
standard,Adaptive-EKF,circle,high,30.0,0.13156575308164914,0.003232590617712075,0.1303586839073688,0.13277282225592948,0.13078427845276727,0.12620479694505335,0.014352490018428426,0.13156575308164914,0.003232590617712075,0.05892161060413995,0.0020609178151820484,1.0758719437242497,0.012036431474338782,0.7294068619607659,1.312621028451283,0.8631700408145635,0.042203194946885146,0.7294068619607659,1.312621028451283,1274.899453466666,34.53957788184292,True,True
standard,Adaptive-UKF,circle,high,30.0,0.06449217373160156,0.003085649467503715,0.0633399732845513,0.06564437417865181,0.06376533071992557,0.05748734824003824,0.008676147631216425,0.06449217373160156,0.003085649467503715,0.05884275900643692,0.017364836399297784,1.0492335732127442,0.008425603799527885,0.7294068619607659,1.312621028451283,0.6947863004240795,0.049915131770336525,0.7294068619607659,1.312621028451283,4908.037365200002,602.1146197580372,True,False
standard,EKF,straight,low,30.0,0.0165862224237699,0.0005176364546896943,0.01639293379497906,0.016779511052560737,0.01656385670331665,0.014931436855731256,0.0016353788316467578,0.0165862224237699,0.0005176364546896943,0.004978899476466996,0.00018520389141242746,0.00498596328144358,0.00012073430744968104,0.7294068619607659,1.312621028451283,0.003672396754975804,0.00019264846791472911,0.7294068619607659,1.312621028451283,855.4366035000005,98.53605624582205,False,False
standard,UKF,straight,low,30.0,0.03789347213662735,0.0006046464430926677,0.037667693444207596,0.03811925082904711,0.03793700697356142,0.0061796325326477245,0.0008216332762680864,0.03789347213662735,0.0006046464430926677,0.004224453433920839,0.0001632873529691014,0.011316899411769714,0.00014628307282915745,0.7294068619607659,1.312621028451283,0.08273477801214761,0.0026014652244958658,0.7294068619607659,1.312621028451283,4594.933233999999,49.600728997905556,False,False
standard,Adaptive-EKF,straight,low,30.0,0.03329148612641802,0.0007128640672454954,0.03302529830903421,0.033557673943801825,0.03326905437567012,0.03465223727966193,0.004144849665093404,0.03329148612641802,0.0007128640672454954,0.009601941767682677,0.00038368977574243334,0.525490453314474,0.011240160306679908,0.7294068619607659,1.312621028451283,0.8383555022199891,0.048184115144866674,0.7294068619607659,1.312621028451283,1307.9109372333335,60.73493563680387,False,True
standard,Adaptive-UKF,straight,low,30.0,0.024754430820940313,0.0005855205422419376,0.024535793857269242,0.024973067784611384,0.024709566484219937,0.024764659568585028,0.0031709182620426285,0.024754430820940313,0.0005855205422419376,0.009548413848656694,0.0003846183852413086,0.6519541428124989,0.007789900125007323,0.7294068619607659,1.312621028451283,0.5633090801114546,0.030881290415563988,0.7294068619607659,1.312621028451283,5068.152185833334,605.6270852169974,False,False
standard,EKF,straight,medium,30.0,0.03772254862302222,0.0011050920746967629,0.03730990046064771,0.03813519678539673,0.037711694582672026,0.037221532581322214,0.0041741815642467915,0.03772254862302222,0.0011050920746967629,0.012447101483627378,0.000462967239419044,0.0299390049799422,0.0007558724455872938,0.7294068619607659,1.312621028451283,0.019618416691537344,0.0009625283327386211,0.7294068619607659,1.312621028451283,812.533240599999,18.55929848051983,False,False
standard,UKF,straight,medium,30.0,0.04073753064319995,0.0015289861927792882,0.04016659781579776,0.041308463470602144,0.040814020587393585,0.01432734932293866,0.0020229954041518766,0.04073753064319995,0.0015289861927792882,0.010560882862580796,0.0004081269715430564,0.04015146467413643,0.0008542267688668358,0.7294068619607659,1.312621028451283,0.09788305770804932,0.006995323737677005,0.7294068619607659,1.312621028451283,4663.9118193999975,54.39692744533846,False,False
standard,Adaptive-EKF,straight,medium,30.0,0.06185197017139195,0.0014056548816893703,0.061327090012405154,0.06237685033037874,0.06168400420736221,0.06360464553329062,0.007801976068685757,0.06185197017139195,0.0014056548816893703,0.024004845402691537,0.0009592225233766377,0.809987798592421,0.013843459981473537,0.7294068619607659,1.312621028451283,0.8263086104512906,0.04807229237209653,0.7294068619607659,1.312621028451283,1301.2916848666653,33.99003991340744,True,True
standard,Adaptive-UKF,straight,medium,30.0,0.037975077841803956,0.001099659339324652,0.037564458296156775,0.03838569738745114,0.03775472276977581,0.037125071984242704,0.004623631987210204,0.037975077841803956,0.001099659339324652,0.023871026871584274,0.0009615459671065307,0.7853802218327736,0.010533595417205015,0.7294068619607659,1.312621028451283,0.554163114144785,0.028919945950696288,0.7294068619607659,1.312621028451283,5084.234685899996,700.9132138714723,True,False
standard,EKF,straight,high,30.0,0.11121577715523467,0.0031017935371093234,0.11005754841352144,0.1123740058969479,0.11105452053134726,0.11167895124872647,0.012719001836749263,0.11121577715523467,0.0031017935371093234,0.03734111044047804,0.0013888453101121572,0.26758437325384715,0.006808558967422902,0.7294068619607659,1.312621028451283,0.17162756090212714,0.008111578774523643,0.7294068619607659,1.312621028451283,822.9960469666632,20.51461173480588,False,False
standard,UKF,straight,high,30.0,0.06196408936286831,0.004231070014000386,0.06038418185458739,0.06354399687114924,0.06238934289022863,0.042502905522524205,0.0060169223398489095,0.06196408936286831,0.004231070014000386,0.03168231940252489,0.0012242597897820116,0.31466899923935227,0.007611928382682791,0.7294068619607659,1.312621028451283,0.2449001064044436,0.028529675108075494,0.7294068619607659,1.312621028451283,4711.206241500001,67.2434493383855,False,False
standard,Adaptive-EKF,straight,high,30.0,0.1311964902132969,0.003194720480423847,0.13000356198067986,0.13238941844591395,0.13074724382686803,0.13279960664155208,0.015924798236918773,0.1311964902132969,0.003194720480423847,0.05892155401595241,0.002060924761077033,1.0757484005590174,0.012053946520900041,0.7294068619607659,1.312621028451283,0.8599433919222575,0.040611301054219485,0.7294068619607659,1.312621028451283,1342.4302494333324,24.3784155390059,True,True
standard,Adaptive-UKF,straight,high,30.0,0.06745331973860107,0.0035761437313406017,0.06611796572338947,0.06878867375381266,0.06798899691595037,0.05876487284206546,0.007975382248153806,0.06745331973860107,0.0035761437313406017,0.05441828466887712,0.0018661179015590332,1.0480923708257242,0.008490780298501723,0.7294068619607659,1.312621028451283,0.7273229741497876,0.052427821658142464,0.7294068619607659,1.312621028451283,5062.503716100004,665.2487003365401,True,False
